sim analy
3.2921808979591836e-10 4.074855111216201e-08
3.41322187755102e-10 4.074855111216201e-08
3.4299402448979594e-10 4.074855111216201e-08
3.4205779591836735e-10 4.074855111216201e-08
3.4098782040816326e-10 4.074855111216201e-08
3.4312777142857145e-10 4.074855111216201e-08
3.41054693877551e-10 4.074855111216201e-08
3.450671020408163e-10 4.074855111216201e-08
3.3403297959183675e-10 4.074855111216201e-08
3.3537044897959185e-10 4.074855111216201e-08
3.399847183673469e-10 4.074855111216201e-08
3.336317387755102e-10 4.074855111216201e-08
3.365072979591837e-10 4.074855111216201e-08
3.425927836734694e-10 4.074855111216201e-08
3.348354612244898e-10 4.074855111216201e-08
3.419909224489796e-10 4.074855111216201e-08
3.501494857142857e-10 4.074855111216201e-08
3.4158968163265304e-10 4.074855111216201e-08
3.411884408163265e-10 4.074855111216201e-08
3.3630667755102043e-10 4.074855111216201e-08
3.2988682448979594e-10 4.074855111216201e-08
3.4011846530612243e-10 4.074855111216201e-08
3.370422857142857e-10 4.074855111216201e-08
3.4045283265306124e-10 4.074855111216201e-08
3.417234285714286e-10 4.074855111216201e-08
3.391822367346939e-10 4.074855111216201e-08
3.422584163265306e-10 4.074855111216201e-08
3.354373224489796e-10 4.074855111216201e-08
3.4312777142857145e-10 4.074855111216201e-08
3.44064e-10 4.074855111216201e-08
3.482101551020408e-10 4.074855111216201e-08
